Date, Test , ComputeTime
18/02/24, 500000 @ -O1, 0.036327
18/02/24, 500000 @ -O2, 0.036651
18/02/24, 500000 @ -O3, 0.036741
18/02/24, 1000000 @ -O0, 0.097953
18/02/24, 1000000 @ -O1, 0.103583
18/02/24, 1000000 @ -O2, 0.101985
18/02/24, 1000000 @ -O3, 0.101869
18/02/24, 5000000 @ -O0, 4.153602
18/02/24, 5000000 @ -O1, 4.473631
18/02/24, 5000000 @ -O2, 4.395358
18/02/24, 5000000 @ -O3, 4.478336
18/02/24, 10000000 @ -O0, 15.560659
18/02/24, 10000000 @ -O1, 16.198046
18/02/24, 10000000 @ -O2, 16.618817
18/02/24, 10000000 @ -O3, 16.632158
19/02/24, 500000 @ -O0, 0.036056
19/02/24, 500000 @ -O1, 0.036240
19/02/24, 500000 @ -O2, 0.036922
19/02/24, 500000 @ -O3, 0.036994
19/02/24, 1000000 @ -O0, 0.100801
19/02/24, 1000000 @ -O1, 0.103227
19/02/24, 1000000 @ -O2, 0.104618
19/02/24, 1000000 @ -O3, 0.102669
19/02/24, 5000000 @ -O0, 5.234640
19/02/24, 5000000 @ -O1, 5.003394
19/02/24, 5000000 @ -O2, 4.748585
19/02/24, 5000000 @ -O3, 4.891807
19/02/24, 10000000 @ -O0, 16.143543
19/02/24, 10000000 @ -O1, 17.033459
19/02/24, 10000000 @ -O2, 16.623584
19/02/24, 10000000 @ -O3, 16.661052
20/02/24, 500000 @ -O0, 0.035419
20/02/24, 500000 @ -O1, 0.036612
20/02/24, 500000 @ -O2, 0.036618
20/02/24, 500000 @ -O3, 0.036852
20/02/24, 1000000 @ -O0, 0.099151
20/02/24, 1000000 @ -O1, 0.102203
20/02/24, 1000000 @ -O2, 0.102073
20/02/24, 1000000 @ -O3, 0.102528
20/02/24, 5000000 @ -O0, 3.976185
20/02/24, 5000000 @ -O1, 3.589154
20/02/24, 5000000 @ -O2, 3.534953
20/02/24, 5000000 @ -O3, 4.444263
20/02/24, 10000000 @ -O0, 15.805826
20/02/24, 10000000 @ -O1, 16.257180
20/02/24, 10000000 @ -O2, 15.604318
20/02/24, 10000000 @ -O3, 14.238083
21/02/24, 500000 @ -O0, 0.036355
21/02/24, 500000 @ -O1, 0.036281
21/02/24, 500000 @ -O2, 0.037183
21/02/24, 500000 @ -O3, 0.036336
21/02/24, 1000000 @ -O0, 0.099267
21/02/24, 1000000 @ -O1, 0.100788
21/02/24, 1000000 @ -O2, 0.101605
21/02/24, 1000000 @ -O3, 0.100954
21/02/24, 5000000 @ -O0, 3.578900
21/02/24, 5000000 @ -O1, 3.923339
21/02/24, 5000000 @ -O2, 3.935547
21/02/24, 5000000 @ -O3, 3.999769
21/02/24, 10000000 @ -O0, 14.480309
21/02/24, 10000000 @ -O1, 15.381831
21/02/24, 10000000 @ -O2, 15.066293
21/02/24, 10000000 @ -O3, 15.781858
